metric,DummyClassifier_most_frequent,DummyClassifier_stratified,DummyClassifier_uniform,LogisticRegression,MLP
accuracy,0.7341862117981521,0.6147832267235253,0.5216773276474769,0.8038379530916845,0.7917555081734187
precision,0.0,0.2765957446808511,0.28794326241134754,0.6475903614457831,0.6091644204851752
recall,0.0,0.27807486631016043,0.5427807486631016,0.5748663101604278,0.6042780748663101
f1_score,0.0,0.2773333333333333,0.376274328081557,0.6090651558073654,0.6067114093959731
roc_auc,0.5,0.507382060454209,0.5,0.8356727976766699,0.8313709097121202
pr_auc,0.2658137882018479,0.2688119793083087,0.2658137882018479,0.6214815556431029,0.614684507161778
brier_score,0.2658137882018479,0.38521677327647474,0.25,0.1401753031576626,0.14296048879623413
total_cost,187000.0,148600.0,110600.0,85350.0,81250.0
normalized_cost,132.90689410092395,105.61478322672353,78.60696517412936,60.66098081023454,57.746979388770434
cost_false_negatives,187000.0,135000.0,85500.0,79500.0,74000.0
cost_false_positives,0.0,13600.0,25100.0,5850.0,7250.0
true_negatives,1033.0,761.0,531.0,916.0,888.0
false_positives,0.0,272.0,502.0,117.0,145.0
false_negatives,374.0,270.0,171.0,159.0,148.0
true_positives,0.0,104.0,203.0,215.0,226.0
