threshold,precision,recall,f1_score,accuracy,total_cost,cost_false_negatives,cost_false_positives,false_positives,false_negatives
0.05,0.361028684470821,0.9759358288770054,0.5270758122743683,0.5344705046197583,36800.0,4500,32300,646,9
0.1,0.3979706877113867,0.9438502673796791,0.5598731165741475,0.605543710021322,37200.0,10500,26700,534,21
0.15,0.4239401496259352,0.9090909090909091,0.5782312925170068,0.6474769012082445,40100.0,17000,23100,462,34
0.2,0.45774647887323944,0.8689839572192514,0.5996309963099631,0.6915422885572139,43750.0,24500,19250,385,49
0.25,0.4849445324881141,0.8181818181818182,0.608955223880597,0.720682302771855,50250.0,34000,16250,325,68
0.3,0.5117117117117117,0.7593582887700535,0.6114101184068891,0.7434257285003554,58550.0,45000,13550,271,90
0.35,0.5445344129554656,0.7192513368983957,0.619815668202765,0.7654584221748401,63750.0,52500,11250,225,105
0.4,0.5778781038374717,0.6844919786096256,0.6266829865361077,0.783226723525231,68350.0,59000,9350,187,118
0.45,0.6030534351145038,0.6336898395721925,0.6179921773142112,0.7917555081734187,76300.0,68500,7800,156,137
0.5,0.6475903614457831,0.5748663101604278,0.6090651558073654,0.8038379530916845,85350.0,79500,5850,117,159
0.55,0.6702898550724637,0.4946524064171123,0.5692307692307692,0.8009950248756219,99050.0,94500,4550,91,189
0.6,0.6837209302325581,0.393048128342246,0.499151103565365,0.7903340440653873,116900.0,113500,3400,68,227
0.65,0.6948051948051948,0.28609625668449196,0.4053030303030303,0.7768301350390903,135850.0,133500,2350,47,267
0.7,0.7590361445783133,0.16844919786096257,0.27571115973741794,0.7647476901208244,156500.0,155500,1000,20,311
0.75,0.78125,0.06684491978609626,0.12315270935960591,0.7469793887704336,174850.0,174500,350,7,349
0.8,0.875,0.01871657754010695,0.03664921465968586,0.738450604122246,183550.0,183500,50,1,367
0.85,0.0,0.0,0.0,0.7341862117981521,187000.0,187000,0,0,374
0.9,0.0,0.0,0.0,0.7341862117981521,187000.0,187000,0,0,374
0.95,0.0,0.0,0.0,0.7341862117981521,187000.0,187000,0,0,374
